Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,3,B12,72,hr,1389,5350,5740,0.9320,0.9323
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,1,B11,72,hr,1389,4379,5147,0.8508,0.8361
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,2,B11,72,hr,1389,5326,5447,0.9776,0.9772
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,3,B11,72,hr,1389,5256,5740,0.9156,0.9157
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,1,B10,72,hr,1389,4556,5147,0.8852,0.8750
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,2,B10,72,hr,1389,5346,5447,0.9813,0.9809
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,3,B10,72,hr,1389,4936,5740,0.8599,0.8578
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,1,B09,72,hr,1389,4108,5147,0.7981,0.7750
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,2,B09,72,hr,1389,4589,5447,0.8423,0.8333
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,3,B09,72,hr,1389,5284,5740,0.9205,0.9207
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,1,B08,72,hr,1389,3484,5147,0.6769,0.6268
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,2,B08,72,hr,1389,4612,5447,0.8466,0.8380
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,3,B08,72,hr,1389,5078,5740,0.8846,0.8837
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,1,B07,72,hr,1389,1990,5147,0.3866,0.2096
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,2,B07,72,hr,1389,1822,5447,0.3344,0.1475
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,3,B07,72,hr,1389,1863,5740,0.3245,0.1542
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1389,6117,5772,1.0597,1.0572
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1389,6478,6038,1.0728,1.0674
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,1,I11,72,hr,1389,6278,5772,1.0876,1.0834
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,3,I11,72,hr,1389,6436,6038,1.0658,1.0611
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,1,I10,72,hr,1389,5718,5772,0.9906,0.9908
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,3,I10,72,hr,1389,6195,6038,1.0259,1.0243
