cell_line	drug	concentration	cell_count__time0	cell_count	cell_count__ctrl	log10_concentration	GR	rel_cell_count	ctrl_cell_doublings	experiment
MCF 10A	WYE-125132	3.33	1056.3333333333333	1697.6666666666667	10794	0.5224442335063199	0.15199651014778626	0.15727873509974677	3.353092528311561	MCF 10A WYE-125132
MCF 10A	WYE-125132	10	1056.3333333333333	1635.6666666666667	10794	1	0.13928516465675256	0.15153480328577607	3.353092528311561	MCF 10A WYE-125132
MCF 10A	WZ-4-145	0.04	1056.3333333333333	9886	10794	-1.3979400086720375	0.9482689882717013	0.9158791921437835	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ-4-145	0.12	1056.3333333333333	9806.666666666666	10794	-0.9208187539523752	0.9435930882562593	0.9085294299302081	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ-4-145	0.37	1056.3333333333333	9245	10794	-0.431798275933005	0.9097049731307116	0.8564943487122475	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ-4-145	1.11	1056.3333333333333	7472.666666666667	10794	0.045322978786657475	0.7922570275574976	0.692298190352665	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ-4-145	3.33	1056.3333333333333	6030.666666666667	10794	0.5224442335063199	0.6812481175580505	0.5587054536470879	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ-4-145	10	1056.3333333333333	1254.6666666666667	10794	1	0.052655117214818414	0.1162374158483108	3.353092528311561	MCF 10A WZ-4-145
MCF 10A	WZ3105	0.04	1056.3333333333333	4306.333333333333	10659	-1.3979400086720375	0.5240670105622247	0.4040091315633111	3.3349350303913012	MCF 10A WZ3105
MCF 10A	WZ3105	0.12	1056.3333333333333	1985.6666666666667	10659	-0.9208187539523752	0.20834824100626825	0.18629014604246802	3.3349350303913012	MCF 10A WZ3105
MCF 10A	WZ3105	0.37	1056.3333333333333	705.3333333333334	10659	-0.431798275933005	-0.11406206031693467	0.06617256152859868	3.3349350303913012	MCF 10A WZ3105
MCF 10A	WZ3105	1.11	1056.3333333333333	436.6666666666667	10659	0.045322978786657475	-0.23270919333283036	0.04096694499171279	3.3349350303913012	MCF 10A WZ3105
MCF 10A	WZ3105	3.33	1056.3333333333333	404	10659	0.5224442335063199	-0.25039192289618895	0.03790224223660756	3.3349350303913012	MCF 10A WZ3105
MCF 10A	WZ3105	10	1056.3333333333333	360.3333333333333	10659	1	-0.2756668906008076	0.033805547737436284	3.3349350303913012	MCF 10A WZ3105
MCF 10A	XL147	0.04	1056.3333333333333	10914.333333333334	10659	-1.3979400086720375	1.0142470660797889	1.0239547174531696	3.3349350303913012	MCF 10A XL147
MCF 10A	XL147	0.12	1056.3333333333333	10338.666666666666	10659	-0.9208187539523752	0.9817840391132389	0.969947149513713	3.3349350303913012	MCF 10A XL147
MCF 10A	XL147	0.37	1056.3333333333333	9956	10659	-0.431798275933005	0.9594978567921968	0.9340463458110517	3.3349350303913012	MCF 10A XL147
MCF 10A	XL147	1.11	1056.3333333333333	9546	10659	0.045322978786657475	0.9349439396316732	0.8955811989867717	3.3349350303913012	MCF 10A XL147
MCF 10A	XL147	3.33	1056.3333333333333	8847.333333333334	10659	0.5224442335063199	0.8913435859657171	0.8300340870000313	3.3349350303913012	MCF 10A XL147
MCF 10A	XL147	10	1056.3333333333333	4972.666666666667	10659	1	0.5912542308959223	0.4665228132720393	3.3349350303913012	MCF 10A XL147
MCF 10A	XMD11-50	0.04	1056.3333333333333	10285.666666666666	10794	-1.3979400086720375	0.9714330892885623	0.9529059353962077	3.353092528311561	MCF 10A XMD11-50
MCF 10A	XMD11-50	0.12	1056.3333333333333	9645	10794	-0.9208187539523752	0.9339816713057609	0.8935519733185103	3.353092528311561	MCF 10A XMD11-50
MCF 10A	XMD11-50	0.37	1056.3333333333333	8063.666666666667	10794	-0.431798275933005	0.8334072283980147	0.7470508307084183	3.353092528311561	MCF 10A XMD11-50
MCF 10A	XMD11-50	1.11	1056.3333333333333	5730.333333333333	10794	0.045322978786657475	0.6558286775772744	0.5308813538385523	3.353092528311561	MCF 10A XMD11-50
